check,status,details
required_structure,PASS,Обязательная структура проекта присутствует
python_compile,PASS,Проверено файлов: 28
cooling_data_model,PASS,"rows=640, features=23, classes={'normal': 160, 'single_outlier': 160, 'sensor_drift': 160, 'high_noise': 160}, groups=8, model=GradientBoostingClassifier"
boyle_mariotte_data_model,PASS,"rows=640, features=27, classes={'normal': 160, 'air_leak': 160, 'temperature_change': 160, 'volume_measurement_error': 160}, groups=8, model=GradientBoostingClassifier"
isochoric_data_model,PASS,"rows=640, features=27, classes={'normal': 160, 'air_leak': 160, 'volume_instability': 160, 'temperature_sensor_lag': 160}, groups=8, model=GradientBoostingClassifier"
heat_balance_data_model,PASS,"rows=640, features=27, classes={'normal': 160, 'heat_loss': 160, 'mass_measurement_error': 160, 'insufficient_mixing': 160}, groups=8, model=RandomForestClassifier"
real_data,PASS,"quality_rows=36, predictions=36, successful=35, manual_review=1, mean_confidence=0.963, low_confidence=0"
control_scenarios_before_grid,PASS, | heat_balance | [OK] normal                       -> normal                       0.936 | [OK] heat_loss                    -> heat_loss                    0.905 | [OK] mass_measurement_error       -> mass_measurement_error       0.786 | [OK] insufficient_mixing          -> insufficient_mixing          1.000 |  | Все контрольные сценарии распознаны корректно.
control_scenarios_after_grid,PASS, | heat_balance | [OK] normal                       -> normal                       0.936 | [OK] heat_loss                    -> heat_loss                    0.905 | [OK] mass_measurement_error       -> mass_measurement_error       0.786 | [OK] insufficient_mixing          -> insufficient_mixing          1.000 |  | Все контрольные сценарии распознаны корректно.
real_data_reprediction,PASS,Нормализованные данные: /Users/k1slov_love/PycharmProjects/PhysLab_AI_v3_realistic_full/data/real_normalized | Манифест: /Users/k1slov_love/PycharmProjects/PhysLab_AI_v3_realistic_full/evaluation/real_data_integration/normalization_manifest.csv | Отчёт качества: /Users/k1slov_love/PycharmProjects/PhysLab_AI_v3_realistic_full/evaluation/real_data_integration/quality_report.csv | Предсказания: /Users/k1slov_love/PycharmProjects/PhysLab_AI_v3_realistic_full/evaluation/real_data_integration/real_data_model_predictions.csv | Профиль реалистичности: /Users/k1slov_love/PycharmProjects/PhysLab_AI_v3_realistic_full/evaluation/real_data_integration/empirical_realism_profile.json |  | Исходные файлы real_data_raw не изменены. | Реальные данные пока не добавлены в обучение: они сохранены как внешний корпус проверки.
real_data,PASS,"quality_rows=36, predictions=36, successful=35, manual_review=1, mean_confidence=0.963, low_confidence=0"
streamlit_smoke,PASS,HTTP 200 на локальном порту 53093
